xunit, xunit_low, fitted_data, total_model, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
530, 520, 11.65, 12.2216, 0.0322265, 0.0400451, 0.360727, 0.0375385, 9.04322e-05, 0.0313809, 0.502921, 0.0290545, 0.0389106, 0.00662306, 0.303695, 0.168145, 0.0388419, 1.27783, 6.37843e-05, 0.312774, 0.0635915, 6.41806, 0.419423, 4.12115e-06, 0.0920658, 0.412706, 0.250695, 1.14012, 0.0265711, 0.117636, 0.0291466, 0.0707196, 13.025, 11.425, 13.825, 10.625, 14.575, 9.875, -0.731214
550, 540, 12.4, 11.9248, 0.0321738, 0.0396944, 0.359749, 0.0372812, 9.08593e-05, 0.0314299, 0.509223, 0.0290915, 0.0377734, 0.00651026, 0.298631, 0.163447, 0.0382933, 1.26062, 6.21792e-05, 0.310649, 0.0619913, 6.21585, 0.41474, 4.04678e-06, 0.090577, 0.405138, 0.24321, 1.0987, 0.0256546, 0.113711, 0.0279785, 0.0724941, 12.725, 11.125, 13.475, 10.375, 14.225, 9.625, 0.615461
570, 560, 12.95, 11.7013, 0.0322302, 0.0393991, 0.35997, 0.0372167, 9.34708e-05, 0.0321141, 0.522828, 0.0296088, 0.037225, 0.00640834, 0.29419, 0.159863, 0.037504, 1.25703, 6.09744e-05, 0.307101, 0.0607901, 6.02701, 0.401956, 3.99332e-06, 0.0881981, 0.396194, 0.236688, 1.09815, 0.0253151, 0.112409, 0.0271817, 0.0745778, 12.475, 10.925, 13.275, 10.175, 13.975, 9.425, 1.6325
584, 580, 13, 12.9267, 0.0306947, 0.0377385, 0.343307, 0.035515, 0.00031743, 0.093031, 1.70918, 0.0931496, 0.109682, 0.00633277, 0.293684, 0.167399, 0.0370083, 1.24904, 6.01153e-05, 0.303678, 0.0599336, 5.90348, 0.402749, 3.92057e-06, 0.0902614, 0.37865, 0.231437, 1.10858, 0.025351, 0.112406, 0.026928, 0.0770523, 14.3125, 11.5625, 15.5625, 10.3125, 16.8125, 9.0625, 0.0577017
596, 588, 12.125, 11.24, 0.0300786, 0.0370948, 0.338724, 0.0348147, 6.83638e-05, 0.0246452, 0.392895, 0.0221344, 0.0263123, 0.00631404, 0.289286, 0.162595, 0.0368639, 1.24108, 5.9102e-05, 0.304073, 0.0589233, 5.83025, 0.392599, 3.88258e-06, 0.086074, 0.36317, 0.227872, 1.09416, 0.0249726, 0.11076, 0.0261674, 0.0779834, 12.0938, 10.3438, 12.9688, 9.53125, 13.7812, 8.71875, 1.05593
608, 604, 11.25, 14.4842, 0.030306, 0.0371603, 0.339914, 0.0350285, 6.78411e-05, 0.0244531, 0.39081, 0.0220681, 0.0256439, 0.00628049, 0.289585, 0.159235, 0.0378625, 1.23625, 5.84527e-05, 0.297011, 0.058276, 5.72859, 0.387614, 3.83165e-06, 0.0841118, 0.374473, 0.226675, 4.07035, 0.0788543, 0.381213, 0.0832845, 0.0790092, 15.9375, 13.0625, 17.1875, 11.6875, 18.5625, 10.4375, -2.4036
622, 612, 11.25, 10.7015, 0.0302603, 0.036974, 0.339644, 0.0347214, 7.1121e-05, 0.0257431, 0.408292, 0.0229871, 0.0256246, 0.00623471, 0.286581, 0.16267, 0.0379949, 1.23068, 5.77439e-05, 0.300909, 0.0575693, 5.62705, 0.383706, 3.79307e-06, 0.087486, 0.372015, 0.221692, 0.801357, 0.0191718, 0.0830307, 0.0188596, 0.0801259, 11.475, 9.925, 12.175, 9.225, 12.875, 8.525, 0.749827
642, 632, 11.75, 10.5707, 0.0297968, 0.0363736, 0.33545, 0.0341098, 7.44195e-05, 0.0269092, 0.429221, 0.0238933, 0.0250012, 0.00619321, 0.285697, 0.160878, 0.036426, 1.2204, 5.65542e-05, 0.303734, 0.0563833, 5.5189, 0.378871, 3.74198e-06, 0.0860134, 0.374669, 0.215785, 0.784894, 0.0189221, 0.0812573, 0.0180179, 0.0827706, 11.325, 9.825, 12.025, 9.075, 12.775, 8.375, 1.62214
662, 652, 10.75, 10.4833, 0.0298872, 0.0363487, 0.336185, 0.0341702, 7.38556e-05, 0.0270228, 0.430034, 0.0238154, 0.0243004, 0.0061939, 0.284647, 0.162252, 0.0366474, 1.2085, 5.56019e-05, 0.297248, 0.0554338, 5.36152, 0.37314, 3.68744e-06, 0.0841199, 0.364742, 0.211218, 0.879997, 0.0212227, 0.0905707, 0.0186431, 0.0852647, 11.225, 9.725, 11.975, 9.025, 12.675, 8.325, 0.368435
682, 672, 10.9, 10.3718, 0.0304891, 0.0368912, 0.342045, 0.0346649, 7.52667e-05, 0.0274718, 0.436365, 0.0241419, 0.0236531, 0.00614599, 0.283439, 0.161734, 0.0369794, 1.21753, 5.49061e-05, 0.296615, 0.0547402, 5.27048, 0.365443, 3.58526e-06, 0.0823398, 0.368182, 0.207048, 0.852094, 0.0207639, 0.087586, 0.0173525, 0.0874281, 11.125, 9.625, 11.825, 8.925, 12.525, 8.225, 0.733544
702, 692, 9.3, 10.2595, 0.030018, 0.0363593, 0.337712, 0.0341392, 7.55302e-05, 0.0277267, 0.441154, 0.0241934, 0.0228866, 0.00617435, 0.284017, 0.159863, 0.0364501, 1.20792, 5.41161e-05, 0.299372, 0.0539525, 5.15481, 0.364703, 3.58979e-06, 0.0832784, 0.349409, 0.203838, 0.880847, 0.0213878, 0.0907028, 0.0174866, 0.0909207, 10.975, 9.525, 11.725, 8.825, 12.425, 8.125, -1.33961
717, 712, 9.3, 10.1464, 0.0296769, 0.036045, 0.334625, 0.0336835, 7.43542e-05, 0.0274853, 0.437371, 0.0237833, 0.022096, 0.00612934, 0.283744, 0.157214, 0.0352854, 1.19651, 5.38434e-05, 0.301248, 0.0536807, 5.05818, 0.362264, 3.50033e-06, 0.0790061, 0.348721, 0.19989, 0.895586, 0.0219139, 0.0918807, 0.0173701, 0.0928615, 11.25, 9.05, 12.25, 8.05, 13.15, 7.15, -0.840258
727, 722, 9.5, 10.5583, 0.030805, 0.0371991, 0.346528, 0.0350059, 0.000147031, 0.0494401, 0.854535, 0.0439916, 0.0394441, 0.00615823, 0.284728, 0.160042, 0.0362672, 1.19859, 5.323e-05, 0.301158, 0.0530691, 4.98949, 0.358763, 3.50766e-06, 0.0799123, 0.349115, 0.196974, 0.882706, 0.0217505, 0.0912938, 0.0166509, 0.0944853, 11.65, 9.45, 12.65, 8.45, 13.65, 7.45, -1.02994
743, 732, 10.0455, 9.9239, 0.0299351, 0.0363793, 0.338637, 0.0338935, 6.08052e-05, 0.0226375, 0.357315, 0.0196041, 0.0183033, 0.00618135, 0.285264, 0.161819, 0.0359321, 1.19077, 5.26419e-05, 0.300817, 0.0524828, 4.94062, 0.355407, 3.51193e-06, 0.0826517, 0.350794, 0.194371, 0.883907, 0.0216648, 0.0908791, 0.0165148, 0.0970015, 10.6136, 9.25, 11.2955, 8.56818, 11.9318, 7.88636, 0.18099
765, 754, 9.63636, 9.94765, 0.0319708, 0.0385015, 0.359437, 0.0360015, 5.91364e-05, 0.0217308, 0.346801, 0.0189357, 0.0178653, 0.00623354, 0.28697, 0.160426, 0.0363039, 1.20851, 5.23422e-05, 0.301145, 0.052184, 4.83871, 0.35466, 3.43511e-06, 0.082534, 0.346863, 0.1911, 0.970278, 0.0231058, 0.0983587, 0.0185842, 0.100319, 10.6591, 9.25, 11.2955, 8.56818, 11.9773, 7.93182, -0.462924
787, 776, 8.81818, 9.75324, 0.033961, 0.0406125, 0.380815, 0.038147, 5.68813e-05, 0.0208292, 0.332585, 0.0179884, 0.0172583, 0.00626894, 0.2895, 0.163322, 0.0358664, 1.20952, 5.13165e-05, 0.304946, 0.0511614, 4.74329, 0.354488, 3.43531e-06, 0.0825634, 0.346595, 0.187795, 0.866124, 0.0210316, 0.0876338, 0.0154264, 0.105399, 10.4318, 9.06818, 11.1136, 8.38636, 11.75, 7.75, -1.40435
809, 798, 9.09091, 9.49298, 0.0281798, 0.034642, 0.322604, 0.0316105, 4.95737e-05, 0.0183763, 0.294553, 0.0157534, 0.0149376, 0.00636336, 0.293454, 0.160226, 0.0354683, 1.21338, 5.10655e-05, 0.300878, 0.0509112, 4.66017, 0.352891, 3.37867e-06, 0.0815483, 0.344808, 0.184815, 0.820106, 0.0197994, 0.0827537, 0.0150185, 0.109628, 10.1591, 8.79545, 10.8409, 8.15909, 11.4773, 7.52273, -0.612089
831, 820, 9.63636, 9.48802, 0.0310387, 0.0377576, 0.352839, 0.0346632, 4.84977e-05, 0.0179766, 0.289351, 0.0153166, 0.014293, 0.00648326, 0.299098, 0.161421, 0.0355602, 1.22361, 5.07283e-05, 0.305624, 0.050575, 4.58783, 0.352293, 3.38122e-06, 0.083402, 0.34999, 0.182124, 0.824213, 0.0200531, 0.0828964, 0.0141613, 0.115347, 10.1591, 8.79545, 10.8409, 8.15909, 11.4773, 7.52273, 0.225891
853, 842, 8.54545, 9.38924, 0.0262231, 0.0325809, 0.302395, 0.029311, 6.70995e-05, 0.0234692, 0.389355, 0.020524, 0.0195328, 0.00655446, 0.303048, 0.163973, 0.0354902, 1.23598, 5.01805e-05, 0.310678, 0.0500288, 4.51651, 0.352379, 3.39807e-06, 0.0825193, 0.348739, 0.179952, 0.732404, 0.0177895, 0.0741173, 0.0132679, 0.122304, 10.0682, 8.70455, 10.7045, 8.06818, 11.3409, 7.43182, -1.2916
875, 864, 8.45455, 9.1527, 0.0266651, 0.0331258, 0.307755, 0.0297277, 3.88334e-05, 0.0144661, 0.232699, 0.0123136, 0.0118673, 0.00674216, 0.309687, 0.168064, 0.0369821, 1.23865, 4.98198e-05, 0.310884, 0.0496692, 4.46351, 0.352741, 3.33654e-06, 0.0830783, 0.34588, 0.177907, 0.708528, 0.0170954, 0.0715351, 0.0129717, 0.130057, 9.84091, 8.47727, 10.4773, 7.84091, 11.0682, 7.20455, -1.0824
897, 886, 8.45455, 9.18233, 0.0279985, 0.0346545, 0.32335, 0.0310853, 3.83293e-05, 0.0141487, 0.229239, 0.0120808, 0.0118521, 0.00690111, 0.318987, 0.16839, 0.0377302, 1.26237, 4.98003e-05, 0.316759, 0.0496497, 4.43776, 0.359537, 3.431e-06, 0.0852704, 0.350526, 0.177393, 0.688222, 0.0164945, 0.0693854, 0.0129249, 0.139528, 9.84091, 8.52273, 10.4773, 7.88636, 11.1136, 7.25, -1.12651
911.5, 908, 9.71429, 10.8512, 0.149993, 0.170222, 1.68585, 0.160246, 3.64732e-05, 0.0136549, 0.220315, 0.0115398, 0.0110648, 0.00703708, 0.325231, 0.17072, 0.0384177, 1.28029, 5.00132e-05, 0.318585, 0.049862, 4.36188, 0.35513, 3.38251e-06, 0.0829964, 0.346531, 0.174964, 0.672435, 0.0162277, 0.0681735, 0.0127959, 0.146975, 12.2143, 9.5, 13.3571, 8.35714, 14.6429, 7.07143, -0.913166
927, 915, 10.3333, 9.02474, 0.0182565, 0.0232761, 0.215177, 0.0203186, 3.45592e-05, 0.0129751, 0.207328, 0.010878, 0.0107545, 0.00722009, 0.333429, 0.171763, 0.0382074, 1.29285, 4.95153e-05, 0.326823, 0.0493656, 4.32581, 0.359119, 3.33514e-06, 0.0849749, 0.349082, 0.174074, 0.736739, 0.0171416, 0.0735943, 0.014436, 0.151058, 9.64583, 8.39583, 10.2708, 7.77083, 10.8542, 7.1875, 2.13399
950.5, 939, 8.82609, 9.03933, 0.0189552, 0.0238353, 0.222114, 0.021014, 3.27539e-05, 0.0123361, 0.198026, 0.0103959, 0.0105574, 0.00751927, 0.347247, 0.18626, 0.0406721, 1.38402, 5.12922e-05, 0.353374, 0.0511372, 4.2804, 0.361424, 3.35661e-06, 0.0851233, 0.361097, 0.172032, 0.644551, 0.015313, 0.0647047, 0.0119938, 0.155141, 9.67391, 8.41304, 10.3261, 7.76087, 10.9348, 7.15217, -0.340158
967.5, 962, 9.90909, 9.79494, 0.0784991, 0.0898904, 0.883103, 0.0844379, 3.10415e-05, 0.0117093, 0.18711, 0.00979062, 0.0100613, 0.00776913, 0.358075, 0.179268, 0.0394365, 1.32096, 4.97513e-05, 0.33977, 0.0496009, 4.25274, 0.367488, 3.34516e-06, 0.089272, 0.365984, 0.172778, 0.649509, 0.015258, 0.0647679, 0.0122118, 0.155373, 10.7727, 8.77273, 11.6818, 7.86364, 12.6818, 6.95455, 0.12097
987, 973, 9.21429, 8.80836, 0.0111233, 0.0145228, 0.134319, 0.0122917, 2.97377e-05, 0.0112061, 0.179335, 0.00944683, 0.00986354, 0.00801976, 0.369323, 0.182396, 0.040463, 1.36822, 4.99514e-05, 0.343008, 0.0498004, 4.21256, 0.368351, 3.42362e-06, 0.0877819, 0.353481, 0.171385, 0.629106, 0.0148515, 0.0629311, 0.0116113, 0.152882, 9.375, 8.23214, 9.94643, 7.66071, 10.4821, 7.125, 0.723723
1015, 1001, 8.89286, 9.11239, 0.0106321, 0.0139801, 0.128826, 0.0118385, 2.92539e-05, 0.0110105, 0.17601, 0.00924814, 0.0100099, 0.00833731, 0.38561, 0.190218, 0.0424224, 1.41577, 5.0537e-05, 0.359877, 0.0503842, 4.37171, 0.407053, 3.57759e-06, 0.0978964, 0.390269, 0.17805, 0.612001, 0.0144997, 0.0613738, 0.0113556, 0.143923, 9.69643, 8.51786, 10.2679, 7.94643, 10.8393, 7.41071, -0.384823
1043, 1029, 9.28571, 8.87995, 0.0105379, 0.0138903, 0.127543, 0.0117185, 2.63093e-05, 0.00972066, 0.158371, 0.00826809, 0.00898401, 0.00851628, 0.394014, 0.193446, 0.0437184, 1.45695, 5.09611e-05, 0.370273, 0.050807, 4.15538, 0.38698, 3.4655e-06, 0.0935269, 0.381914, 0.169658, 0.602303, 0.0140693, 0.0598512, 0.0111381, 0.138296, 9.44643, 8.30357, 10.0179, 7.73214, 10.5536, 7.19643, 0.720528
1071, 1057, 9.78571, 9.02926, 0.0118981, 0.015748, 0.145138, 0.0129723, 2.66549e-05, 0.00967204, 0.158482, 0.00830823, 0.009396, 0.00851504, 0.396456, 0.20535, 0.0463137, 1.52823, 5.16392e-05, 0.395358, 0.0514832, 4.16212, 0.398021, 3.49506e-06, 0.0940009, 0.386056, 0.17113, 0.594314, 0.0139292, 0.0589561, 0.0108306, 0.136506, 9.625, 8.44643, 10.1964, 7.875, 10.7321, 7.33929, 1.33209
1098.5, 1085, 9.51852, 9.21493, 0.0105411, 0.0139282, 0.128356, 0.0115391, 3.64615e-05, 0.0134811, 0.220697, 0.0110269, 0.00886118, 0.00863023, 0.402885, 0.213811, 0.0487384, 1.60154, 5.27048e-05, 0.409381, 0.0525454, 4.15746, 0.412767, 3.61764e-06, 0.098837, 0.410839, 0.171503, 0.583555, 0.0135673, 0.0576387, 0.0106253, 0.142076, 9.83333, 8.61111, 10.3889, 8.01852, 10.9815, 7.46296, 0.519666
1121, 1112, 10.2778, 10.824, 0.0108203, 0.0143192, 0.132057, 0.0117296, 2.10974e-05, 0.0078094, 0.126794, 0.00663331, 0.00800782, 0.00881584, 0.410169, 0.218265, 0.0506385, 1.66879, 5.34805e-05, 0.435664, 0.0533188, 4.17057, 0.426747, 3.6998e-06, 0.101972, 0.420012, 0.173758, 1.00526, 0.0214977, 0.0982638, 0.0227296, 1.21932, 11.6389, 10.0278, 12.4167, 9.25, 13.1389, 8.47222, -0.704436
1144, 1130, 8.46429, 9.21313, 0.00712237, 0.0093141, 0.0862034, 0.00794455, 2.0588e-05, 0.00758181, 0.122787, 0.00643771, 0.00784546, 0.00904493, 0.423339, 0.234519, 0.0531612, 1.75473, 5.4828e-05, 0.45276, 0.0546623, 4.19364, 0.440464, 3.79732e-06, 0.10667, 0.439201, 0.176047, 0.540642, 0.0124128, 0.0527773, 0.00932818, 0.00441647, 9.80357, 8.625, 10.375, 8.05357, 10.9464, 7.48214, -1.30548
