xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
572.5, 565, 42.3333, 41.3822, 31.0807, 0.0181951, 0.156443, 0.0236505, 0.00884989, 0.162681, 0.0120332, 0.0337162, 0.132578, 0.171414, 0.0375369, 1.22684, 0.280324, 0.162812, 0.0628227, 4.0273, 0.444245, 0.00119018, 0.0579963, 1.13093, 1.65262, 0.382275, 0.00838976, 0.0496028, 0.0259706, 0.0227063, 0.00830128, 43.1, 39.7, 44.7, 38.0333, 46.3667, 36.4333, 0.572666
584, 580, 48.875, 44.6074, 31.1571, 0.0179353, 0.15522, 0.0232816, 0.124958, 2.86413, 0.210949, 0.307969, 0.13135, 0.17322, 0.0361715, 1.23166, 0.286347, 0.163451, 0.0619121, 3.94281, 0.436802, 0.00109252, 0.0540782, 1.11593, 1.61108, 0.384676, 0.00853646, 0.0505012, 0.0257177, 0.0221137, 0.00841473, 47.0625, 42.1875, 49.4375, 39.8125, 51.6875, 37.5625, 1.80728
596, 588, 41.5625, 41.1793, 31.4516, 0.0164492, 0.141576, 0.0212303, 0.0049655, 0.0950057, 0.00677989, 0.0188968, 0.129723, 0.171113, 0.0365821, 1.19091, 0.269413, 0.158044, 0.060477, 3.81345, 0.428622, 0.00112307, 0.0567185, 1.07531, 1.57895, 0.345043, 0.00761267, 0.0446398, 0.0241151, 0.0223863, 0.00850795, 42.8438, 39.5312, 44.4062, 37.9688, 45.9688, 36.4062, 0.238887
608, 604, 42.625, 47.9794, 31.7356, 0.0170815, 0.148825, 0.0221387, 0.00473196, 0.0907304, 0.00633631, 0.018025, 0.129907, 0.16708, 0.0341189, 1.19698, 0.271271, 0.158849, 0.0587309, 3.71039, 0.425165, 0.00107215, 0.0543716, 1.07194, 1.53172, 5.94205, 0.104432, 0.824819, 0.221807, 0.0226244, 0.00864461, 50.4375, 45.4375, 52.9375, 43.0625, 55.3125, 40.6875, -2.18639
617, 612, 44.1, 41.3874, 31.8158, 0.0175004, 0.154085, 0.0232054, 0.00469509, 0.0898458, 0.00609652, 0.0177282, 0.129526, 0.165154, 0.0343379, 1.16843, 0.266048, 0.15506, 0.0579705, 3.64325, 0.414392, 0.00107419, 0.0508511, 1.09247, 1.50868, 0.452486, 0.00808167, 0.0576812, 0.0223029, 0.0220036, 0.00870849, 43.45, 39.35, 45.45, 37.25, 47.45, 35.25, 1.33335
627, 622, 45, 41.0622, 31.8655, 0.0164576, 0.144028, 0.0213717, 0.00454361, 0.0881017, 0.00611312, 0.0173725, 0.127315, 0.165636, 0.0341189, 1.18739, 0.26194, 0.157576, 0.057105, 3.56552, 0.415903, 0.00103927, 0.0507729, 1.07281, 1.47463, 0.243875, 0.00539649, 0.0315346, 0.015617, 0.0216424, 0.00879816, 43.15, 38.95, 45.15, 36.95, 47.15, 34.95, 1.94329
637, 632, 40.7, 40.9022, 31.9313, 0.0160585, 0.142129, 0.0210928, 0.00450625, 0.0868845, 0.00607787, 0.0171998, 0.128164, 0.161977, 0.0347393, 1.11479, 0.257133, 0.147942, 0.0557468, 3.48048, 0.40492, 0.00100203, 0.0506164, 1.0595, 1.44737, 0.249319, 0.0053236, 0.0316883, 0.0153997, 0.021899, 0.00890973, 42.95, 38.85, 44.95, 36.85, 46.95, 34.85, -0.0999827
647, 642, 43, 40.9707, 32.0445, 0.0164645, 0.147318, 0.0217096, 0.00452952, 0.0866024, 0.00599687, 0.0167626, 0.127993, 0.15851, 0.032787, 1.13421, 0.265087, 0.150519, 0.0552045, 3.45376, 0.397608, 0.00106488, 0.0508511, 1.06299, 1.41523, 0.239915, 0.00515672, 0.0306838, 0.0150263, 0.0212753, 0.0089892, 43.05, 38.85, 45.05, 36.85, 47.05, 34.95, 1.00256
657, 652, 38.6, 40.9406, 32.1443, 0.0161147, 0.145505, 0.0214149, 0.00442571, 0.0848849, 0.00588642, 0.0164437, 0.127072, 0.164577, 0.032933, 1.17028, 0.252501, 0.155306, 0.054449, 3.34974, 0.395287, 0.0010707, 0.0508511, 1.02589, 1.40298, 0.237131, 0.00518698, 0.0303675, 0.0148738, 0.0220056, 0.0090776, 43.05, 38.85, 45.05, 36.85, 46.95, 34.85, -1.15676
667, 662, 45.6, 40.9429, 32.1957, 0.0169042, 0.153293, 0.0226361, 0.00419986, 0.0794689, 0.00561851, 0.0156324, 0.126311, 0.157739, 0.0334256, 1.11063, 0.264475, 0.14739, 0.0533773, 3.30279, 0.39553, 0.00103927, 0.0471742, 1.03001, 1.37287, 0.309019, 0.00626664, 0.041568, 0.0192249, 0.0214095, 0.00917909, 43.05, 38.85, 45.05, 36.85, 46.95, 34.85, 2.30157
677, 672, 36.3, 40.8432, 32.2733, 0.0178693, 0.165398, 0.0246753, 0.00399794, 0.0778668, 0.00541744, 0.0150823, 0.127226, 0.160243, 0.0335716, 1.10693, 0.252938, 0.146899, 0.0531235, 3.25252, 0.393371, 0.00107768, 0.0470177, 1.03255, 1.34572, 0.227542, 0.00482984, 0.0291656, 0.0140006, 0.0215536, 0.00927944, 42.95, 38.75, 44.95, 36.75, 46.85, 34.75, -2.24803
687, 682, 39.8, 40.6834, 32.2886, 0.0169504, 0.15882, 0.0234038, 0.00395066, 0.0785459, 0.00533078, 0.0148577, 0.125921, 0.151191, 0.0329695, 1.06532, 0.267097, 0.141377, 0.0520944, 3.18953, 0.387435, 0.00102996, 0.0438884, 0.99958, 1.32692, 0.228965, 0.00494858, 0.0296338, 0.0139705, 0.0216247, 0.0093874, 42.75, 38.65, 44.75, 36.65, 46.75, 34.65, -0.437966
697, 692, 41.5, 40.4268, 32.1001, 0.0171811, 0.160528, 0.0235856, 0.00386583, 0.07552, 0.00521918, 0.0142869, 0.124695, 0.15331, 0.0331519, 1.09722, 0.250141, 0.145611, 0.0515382, 3.10898, 0.386706, 0.0010288, 0.0452966, 1.00117, 1.31622, 0.231027, 0.00491282, 0.030233, 0.0143115, 0.0215319, 0.0094747, 42.45, 38.35, 44.45, 36.35, 46.45, 34.45, 0.533751
707, 702, 43.4, 40.4149, 32.1362, 0.0170516, 0.160352, 0.0238005, 0.00374765, 0.0734133, 0.00515867, 0.0142232, 0.126887, 0.152058, 0.0309807, 1.12774, 0.248131, 0.14966, 0.0510852, 3.06303, 0.3788, 0.00101949, 0.0474089, 0.991972, 1.27857, 0.24934, 0.00517414, 0.0328589, 0.0150229, 0.0216404, 0.00958375, 42.45, 38.35, 44.45, 36.35, 46.45, 34.35, 1.48484
717, 712, 37.9, 40.2805, 32.0404, 0.0149811, 0.137557, 0.0201361, 0.00382025, 0.0743855, 0.00510025, 0.0140643, 0.127414, 0.147532, 0.0316923, 1.12589, 0.251278, 0.149415, 0.0500838, 3.03743, 0.375427, 0.00102065, 0.0461572, 1.03192, 1.27119, 0.241008, 0.00506503, 0.0319486, 0.0144406, 0.0214056, 0.00966554, 42.35, 38.25, 44.35, 36.25, 46.25, 34.25, -1.18608
727, 722, 42.3, 41.007, 31.9818, 0.0164014, 0.152681, 0.0226505, 0.0416001, 0.892064, 0.0600235, 0.0709387, 0.126133, 0.153213, 0.0316011, 1.10971, 0.254686, 0.147267, 0.0495554, 2.94608, 0.370138, 0.000984575, 0.0449054, 0.987533, 1.24387, 0.224511, 0.00476382, 0.0290258, 0.0132628, 0.0218497, 0.00976269, 43.05, 38.95, 45.05, 36.95, 47.05, 34.95, 0.638514
737.5, 732, 38.3636, 39.8333, 31.8448, 0.0141222, 0.130231, 0.0190381, 0.00295678, 0.0598675, 0.00409423, 0.0114514, 0.126918, 0.152329, 0.0310836, 1.10424, 0.245597, 0.146542, 0.0493909, 2.9439, 0.374438, 0.000951142, 0.0471528, 0.992289, 1.22545, 0.227272, 0.00472794, 0.0292412, 0.0131825, 0.0221421, 0.00986928, 41.7727, 37.8636, 43.6818, 35.9545, 45.5, 34.1364, -0.772314
748.5, 743, 38.8182, 39.6678, 31.7836, 0.0142843, 0.132887, 0.0194739, 0.00277974, 0.0560174, 0.00385492, 0.0111179, 0.128104, 0.14874, 0.0323442, 1.06935, 0.251079, 0.141912, 0.0486474, 2.89628, 0.369925, 0.000935272, 0.0465128, 1.00324, 1.20817, 0.21998, 0.00470085, 0.0289807, 0.0129497, 0.0219376, 0.00998021, 41.5909, 37.6818, 43.5, 35.8636, 45.3182, 33.9545, -0.44741
759.5, 754, 35.0909, 39.4464, 31.6097, 0.0154407, 0.143434, 0.0212872, 0.00372764, 0.0759536, 0.00558423, 0.0143383, 0.127407, 0.147864, 0.0311831, 1.07692, 0.248695, 0.142916, 0.0481958, 2.84763, 0.36963, 0.000938446, 0.0431701, 0.979031, 1.19358, 0.221554, 0.00464167, 0.0286027, 0.0128193, 0.0220955, 0.0100907, 41.4091, 37.5, 43.2273, 35.5909, 45.1364, 33.7727, -2.30003
770.5, 765, 42.1818, 39.5064, 31.3037, 0.0172102, 0.159209, 0.0240356, 0.00279194, 0.056138, 0.00392476, 0.0110119, 0.129084, 0.147076, 0.0314319, 1.09541, 0.247027, 0.145371, 0.0474667, 2.79995, 0.36048, 0.000982882, 0.0444503, 0.967503, 1.17056, 0.589206, 0.0111301, 0.0804827, 0.0281077, 0.0224095, 0.0101747, 41.4091, 37.5909, 43.3182, 35.6818, 45.1364, 33.8636, 1.41176
781.5, 776, 41.1818, 39.0369, 31.1779, 0.0140035, 0.126426, 0.0186859, 0.00540347, 0.113689, 0.00808317, 0.0171674, 0.130031, 0.150753, 0.0310006, 1.058, 0.255528, 0.140406, 0.0469827, 2.74887, 0.363915, 0.00102097, 0.0456593, 0.968944, 1.16112, 0.352072, 0.00717401, 0.0462179, 0.0153443, 0.0222319, 0.0102978, 40.9545, 37.1364, 42.8636, 35.2273, 44.6818, 33.4091, 1.13859
792.5, 787, 40.2727, 38.6778, 30.94, 0.0239425, 0.225997, 0.0351422, 0.00286201, 0.0597339, 0.00412697, 0.0107189, 0.130482, 0.144888, 0.031747, 1.05884, 0.255687, 0.140518, 0.04656, 2.71118, 0.361143, 0.000908822, 0.0439524, 0.970097, 1.15041, 0.246094, 0.00499801, 0.0324478, 0.0124987, 0.0224382, 0.0104068, 40.5909, 36.7727, 42.5, 34.8636, 44.3182, 33.0455, 0.850577
803.5, 798, 37.8182, 38.1575, 30.6077, 0.00992235, 0.0876729, 0.0129493, 0.00239719, 0.0469009, 0.00318075, 0.00937924, 0.132206, 0.147339, 0.0306357, 1.03741, 0.247345, 0.137673, 0.0461968, 2.64863, 0.368208, 0.00098923, 0.0408231, 0.996035, 1.13259, 0.312047, 0.00618333, 0.0428191, 0.0168204, 0.0228527, 0.0105642, 40.0455, 36.2273, 41.9545, 34.4091, 43.7727, 32.5909, -0.18219
814.5, 809, 37.5455, 37.7944, 30.4311, 0.00936309, 0.082427, 0.0118424, 0.00236797, 0.0469956, 0.0031901, 0.0093049, 0.135693, 0.144888, 0.0303206, 1.03657, 0.25092, 0.137561, 0.0459562, 2.63813, 0.361045, 0.000927866, 0.0450192, 0.964333, 1.11829, 0.2104, 0.00432033, 0.0278244, 0.0116088, 0.0233802, 0.0106268, 39.6818, 35.8636, 41.5, 34.0455, 43.3182, 32.2273, -0.13428
825.5, 820, 32.4545, 37.4198, 30.0819, 0.0104668, 0.0951038, 0.0139177, 0.00226266, 0.04709, 0.00313401, 0.00914159, 0.140813, 0.152417, 0.0299722, 1.03404, 0.242021, 0.137226, 0.0454731, 2.61571, 0.354936, 0.000980766, 0.0440235, 0.953381, 1.10901, 0.216849, 0.00451788, 0.0287409, 0.0118544, 0.0240639, 0.0107269, 39.3182, 35.5, 41.1364, 33.6818, 42.9545, 31.8636, -2.69207
836.5, 831, 39.1818, 37.2088, 29.7377, 0.0185978, 0.171404, 0.0258424, 0.00225432, 0.0454936, 0.00311436, 0.00900753, 0.13818, 0.142436, 0.0300718, 1.03573, 0.241465, 0.137449, 0.0452324, 2.56457, 0.360407, 0.000953258, 0.0444503, 0.97759, 1.09062, 0.293581, 0.00591659, 0.0384339, 0.013122, 0.0243815, 0.0108475, 39.0455, 35.3182, 40.9545, 33.5, 42.6818, 31.6818, 1.07275
847.5, 842, 38.5455, 36.7123, 29.5655, 0.00788242, 0.0692119, 0.00997744, 0.00226032, 0.0439885, 0.00302724, 0.00872986, 0.141909, 0.142524, 0.0305694, 1.029, 0.240432, 0.136557, 0.0445502, 2.53982, 0.355403, 0.000911996, 0.0404675, 0.930901, 1.08349, 0.207063, 0.00407276, 0.027016, 0.0110058, 0.0250274, 0.0109487, 38.5909, 34.8636, 40.4091, 33.0455, 42.1364, 31.2273, 1.00346
858.5, 853, 35.7273, 36.7505, 29.1799, 0.00693947, 0.0602044, 0.00859736, 0.016467, 0.360007, 0.0254452, 0.0408436, 0.144321, 0.149965, 0.0301049, 1.06683, 0.245279, 0.141577, 0.0447214, 2.52597, 0.356114, 0.000905648, 0.0392585, 0.954534, 1.07401, 0.200726, 0.00408777, 0.0258423, 0.0109575, 0.0258672, 0.0110533, 38.5909, 34.8636, 40.4091, 33.0455, 42.2273, 31.3182, -0.559822
869.5, 864, 36.6364, 35.9959, 28.8777, 0.00741867, 0.0652748, 0.00943835, 0.00221286, 0.0454686, 0.00316134, 0.00845468, 0.146518, 0.148652, 0.0295742, 1.03993, 0.246153, 0.138007, 0.0446547, 2.48493, 0.356163, 0.000896126, 0.0371249, 0.956551, 1.06664, 0.201214, 0.00410402, 0.0266539, 0.0111739, 0.0267303, 0.0111775, 37.8636, 34.1364, 39.6818, 32.3182, 41.4091, 30.5909, 0.354035
880.5, 875, 35.0909, 35.4051, 28.3672, 0.00703596, 0.0616571, 0.00874439, 0.00192736, 0.0386575, 0.002623, 0.00756524, 0.149724, 0.151191, 0.0308182, 1.0311, 0.23924, 0.136836, 0.0439977, 2.46484, 0.35658, 0.0008993, 0.0398274, 0.934648, 1.04611, 0.202601, 0.00413194, 0.0267571, 0.0111052, 0.0279253, 0.0112904, 37.2273, 33.5909, 39.0455, 31.7727, 40.7727, 30.0455, -0.175117
891.5, 886, 34.4545, 35.2208, 28.092, 0.00650876, 0.056872, 0.00801318, 0.00302709, 0.0616097, 0.00427008, 0.0101591, 0.152915, 0.147952, 0.0297234, 1.08953, 0.245994, 0.14459, 0.0441004, 2.4435, 0.354519, 0.000911996, 0.0406098, 0.957128, 1.04057, 0.203332, 0.00417154, 0.0273591, 0.0110967, 0.0289534, 0.01139, 37.0455, 33.4091, 38.8636, 31.5909, 40.5909, 29.8636, -0.428248
902.5, 897, 31.2727, 34.9195, 27.5457, 0.0125345, 0.117495, 0.0178129, 0.00186213, 0.0369785, 0.00252994, 0.00727284, 0.157811, 0.146113, 0.0311499, 1.08406, 0.249172, 0.143865, 0.0441212, 2.50304, 0.377284, 0.000916228, 0.0424589, 1.0214, 1.08299, 0.2104, 0.00416487, 0.0277069, 0.0113292, 0.0278356, 0.0115061, 36.7727, 33.1364, 38.5, 31.3182, 40.2273, 29.5909, -2.04678
911.5, 908, 33.4286, 36.937, 27.3402, 0.222159, 2.07975, 0.306429, 0.00178337, 0.0360159, 0.00246326, 0.00708216, 0.161031, 0.150916, 0.0292709, 1.06545, 0.259706, 0.141394, 0.0438343, 2.3825, 0.351523, 0.000779746, 0.047163, 1.00588, 1.02581, 0.199797, 0.00400822, 0.0263608, 0.0106722, 0.0234033, 0.011592, 39.3571, 34.6429, 41.6429, 32.2143, 43.7857, 30.0714, -1.52731
921, 915, 35.4167, 33.8671, 26.8385, 0.00547722, 0.0544303, 0.00804624, 0.00180561, 0.0368455, 0.00247464, 0.0072416, 0.166527, 0.146296, 0.0310324, 1.10084, 0.257978, 0.146091, 0.0436566, 2.38285, 0.352792, 0.000839875, 0.0414632, 0.954774, 1.02461, 0.190701, 0.00392171, 0.0246395, 0.0102302, 0.0213283, 0.0116768, 35.625, 32.125, 37.2917, 30.4583, 38.875, 28.875, 0.922387
933, 927, 34.6667, 33.5686, 26.3521, 0.00369, 0.0352229, 0.00485961, 0.00176849, 0.0360728, 0.00244255, 0.00715877, 0.174174, 0.152475, 0.0314886, 1.0993, 0.250404, 0.145887, 0.0441919, 2.33915, 0.354591, 0.000857332, 0.039051, 0.959794, 1.01203, 0.408211, 0.00771353, 0.0545449, 0.0197608, 0.019815, 0.0117979, 35.2917, 31.875, 36.9583, 30.2083, 38.5417, 28.5417, 0.656547
945, 939, 31.4167, 33.0844, 25.8374, 0.00548565, 0.0524058, 0.00756764, 0.00185423, 0.0358686, 0.00245417, 0.00719891, 0.179801, 0.171655, 0.0338148, 1.26306, 0.290171, 0.167619, 0.0482823, 2.35132, 0.355333, 0.000876729, 0.0443969, 0.965606, 1.01092, 0.183174, 0.00376546, 0.0239931, 0.00964404, 0.0187936, 0.0119113, 34.7917, 31.375, 36.4583, 29.7083, 38.0417, 28.125, -1.00438
956.5, 951, 32.7273, 32.3945, 25.3304, 0.00567858, 0.0546974, 0.00796352, 0.00203853, 0.0410171, 0.00286413, 0.00771249, 0.182077, 0.155656, 0.03251, 1.2005, 0.264427, 0.159316, 0.0451892, 2.30017, 0.352508, 0.000880256, 0.0403964, 0.964621, 0.995037, 0.182167, 0.00375976, 0.0236871, 0.00940751, 0.0177693, 0.0120427, 34.1364, 30.5909, 35.8636, 28.9545, 37.5, 27.2273, 0.193903
967.5, 962, 31.9091, 33.0406, 24.8749, 0.110396, 1.03245, 0.152909, 0.00165416, 0.0329467, 0.00218435, 0.00659485, 0.161636, 0.160296, 0.028977, 1.08953, 0.261726, 0.14459, 0.0437012, 2.31119, 0.357218, 0.000845342, 0.0406098, 0.967215, 0.988969, 0.20037, 0.00407443, 0.0263347, 0.0102275, 0.016917, 0.012154, 34.7727, 31.2273, 36.5, 29.5, 38.2273, 27.8636, -0.652854
980, 973, 31.5714, 31.2249, 24.2815, 0.0031245, 0.0341918, 0.00494578, 0.00175819, 0.0338158, 0.00234956, 0.00693206, 0.147761, 0.160133, 0.031343, 1.14372, 0.262078, 0.151782, 0.0438237, 2.27743, 0.355108, 0.000894463, 0.0414632, 1.01629, 0.986039, 0.175419, 0.00359135, 0.0228117, 0.00892061, 0.0153588, 0.0122784, 32.75, 29.6786, 34.25, 28.1786, 35.6786, 26.75, 0.232054
994, 987, 29.5714, 30.4557, 23.55, 0.00247441, 0.0259858, 0.00362988, 0.00164307, 0.0300475, 0.00213517, 0.00649152, 0.146238, 0.158964, 0.0309521, 1.15892, 0.266385, 0.153798, 0.0439589, 2.26789, 0.358539, 0.000844586, 0.0405691, 0.99478, 0.979433, 0.171869, 0.0034512, 0.0221503, 0.00877566, 0.0133709, 0.0124188, 31.9643, 28.9643, 33.4643, 27.4643, 34.8929, 26.0357, -0.599564
1008, 1001, 31.1429, 30.4034, 22.953, 0.00193399, 0.0214486, 0.00293368, 0.00161871, 0.0305085, 0.00209189, 0.00642251, 0.143988, 0.163091, 0.0304568, 1.15826, 0.264825, 0.15371, 0.0444447, 2.43901, 0.420467, 0.00102664, 0.0471071, 1.19224, 1.09854, 0.168511, 0.00339061, 0.0217323, 0.00859513, 0.0114281, 0.0125682, 31.8929, 28.8929, 33.3929, 27.3929, 34.8214, 25.9643, 0.501809
1022, 1015, 29.8571, 29.5022, 22.3357, 0.00221802, 0.0235999, 0.0033665, 0.00161063, 0.0309559, 0.00209347, 0.00628535, 0.139686, 0.167012, 0.0321119, 1.16816, 0.27575, 0.155025, 0.0447159, 2.34905, 0.390708, 0.000910258, 0.0440896, 1.07562, 1.03163, 0.165727, 0.0033487, 0.0212955, 0.00853162, 0.0102989, 0.0127091, 30.9643, 28.0357, 32.4643, 26.5357, 33.8214, 25.1786, 0.244501
1036, 1029, 27.0714, 28.618, 21.6281, 0.00280223, 0.0297623, 0.00412071, 0.00157447, 0.0300147, 0.00202609, 0.0062503, 0.137157, 0.160202, 0.0314603, 1.22035, 0.274626, 0.16195, 0.044985, 2.23154, 0.369834, 0.000891969, 0.041072, 1.03848, 0.985519, 0.161175, 0.00332545, 0.020714, 0.00822811, 0.0089708, 0.0128549, 30.1071, 27.1786, 31.5357, 25.75, 32.8929, 24.3214, -1.08174
1050, 1043, 28.7857, 27.9888, 20.9709, 0.0017671, 0.0188517, 0.00259175, 0.00154596, 0.0293479, 0.00204698, 0.00618184, 0.135606, 0.176504, 0.0315385, 1.21969, 0.288173, 0.161863, 0.0457024, 2.23065, 0.375847, 0.000888644, 0.0438102, 1.03418, 0.98797, 0.167789, 0.00345807, 0.0220081, 0.00861233, 0.00828843, 0.0129891, 29.4643, 26.5357, 30.8214, 25.1071, 32.25, 23.75, 0.563636
1064, 1057, 28.2143, 27.304, 20.1906, 0.00261778, 0.0325839, 0.00425471, 0.00158692, 0.0285019, 0.00202619, 0.0061202, 0.132236, 0.175885, 0.03335, 1.28739, 0.287799, 0.170848, 0.0461592, 2.22967, 0.386718, 0.000921064, 0.0393956, 1.04415, 0.984321, 0.163178, 0.00334804, 0.0215476, 0.00821617, 0.00748483, 0.0131212, 28.75, 25.8929, 30.1071, 24.4643, 31.4643, 23.1071, 0.65184
1078, 1071, 26.9286, 26.7349, 19.5716, 0.00175173, 0.0182608, 0.00248085, 0.00283799, 0.0544715, 0.00399881, 0.00943407, 0.133677, 0.17733, 0.033337, 1.28937, 0.294791, 0.171111, 0.047334, 2.24987, 0.389898, 0.000901113, 0.0419103, 1.04165, 0.99126, 0.155961, 0.00317121, 0.019954, 0.00764903, 0.00752289, 0.0132857, 28.1786, 25.3214, 29.5357, 23.9643, 30.8929, 22.6071, 0.140175
